id_student,id_assessment,date_submitted,is_banked,score
11391,1752,18,0,78
28400,1752,22,0,70
31604,1752,17,0,72
32885,1752,26,0,69
38053,1752,19,0,79
45462,1752,20,0,70
45642,1752,18,0,72
52130,1752,19,0,72
53025,1752,9,0,71
57506,1752,18,0,68
58873,1752,19,0,73
59185,1752,18,0,67
62155,1752,17,0,73
63400,1752,19,0,83
65002,1752,17,0,66
70464,1752,19,0,59
71361,1752,19,0,82
74372,1752,22,0,60
75091,1752,18,0,67
77367,1752,18,0,73
91265,1752,21,0,75
94961,1752,17,0,74
98094,1752,18,0,62
100893,1752,17,0,63
101781,1752,16,0,84
102806,1752,19,0,80
102952,1752,19,0,76
104476,1752,30,0,85
106247,1752,32,0,67
106577,1752,18,0,57
110175,1752,18,0,66
111717,1752,10,0,80
113295,1752,19,0,81
114017,1752,18,0,66
114999,1752,18,0,74
116541,1752,19,0,76
116692,1752,16,0,72
118983,1752,19,0,73
123044,1752,25,0,75
127582,1752,26,0,69
129955,1752,18,0,85
132976,1752,18,0,63
134143,1752,18,0,87
135400,1752,19,0,72
137873,1752,15,0,72
141355,1752,19,0,77
141377,1752,54,0,45
142326,1752,17,0,65
144801,1752,19,0,61
145130,1752,19,0,75
146188,1752,19,0,52
147756,1752,18,0,77
147793,1752,32,0,52
148993,1752,25,0,68
151358,1752,17,0,54
155550,1752,19,0,75
155854,1752,18,0,82
155984,1752,19,0,85
157568,1752,18,0,79
159954,1752,19,0,65
164259,1752,18,0,82
167906,1752,19,0,60
168936,1752,19,0,76
172112,1752,19,0,60
172797,1752,18,0,60
174782,1752,17,0,83
175392,1752,16,0,85
175932,1752,18,0,76
175991,1752,15,0,51
180753,1752,18,0,61
181316,1752,20,0,76
183096,1752,19,0,57
183947,1752,19,0,67
184271,1752,18,0,65
185439,1752,24,0,74
186149,1752,33,0,85
187100,1752,17,0,88
188278,1752,19,0,76
189879,1752,19,0,76
192183,1752,19,0,75
200860,1752,18,0,69
202635,1752,27,0,68
205350,1752,19,0,75
205719,1752,19,0,67
227499,1752,19,0,84
227517,1752,18,0,63
228082,1752,19,0,58
228222,1752,19,0,71
229179,1752,19,0,64
229361,1752,18,0,81
231554,1752,19,0,80
235507,1752,18,0,65
236284,1752,23,0,85
238007,1752,19,0,83
240712,1752,19,0,82
240884,1752,18,0,74
241649,1752,16,0,85
241729,1752,19,0,51
242793,1752,18,0,66
246834,1752,18,0,60
248270,1752,19,0,77
255548,1752,19,0,84
256815,1752,37,0,71
258392,1752,18,0,58
258894,1752,19,0,58
260355,1752,21,0,55
262011,1752,18,0,60
262934,1752,18,0,81
268073,1752,18,0,64
268733,1752,29,0,51
271251,1752,19,0,80
277880,1752,20,0,70
279572,1752,18,0,79
281022,1752,18,0,70
281250,1752,18,0,63
282821,1752,19,0,61
286488,1752,18,0,55
287548,1752,21,0,69
290201,1752,18,0,78
290757,1752,18,0,75
291334,1752,18,0,85
294570,1752,16,0,72
294594,1752,18,0,61
295741,1752,18,0,38
296332,1752,18,0,91
298696,1752,19,0,77
300398,1752,20,0,82
302302,1752,18,0,58
305152,1752,19,0,64
305386,1752,19,0,75
306107,1752,18,0,73
306466,1752,7,0,81
306897,1752,16,0,72
307061,1752,19,0,82
307866,1752,19,0,47
311917,1752,18,0,55
312537,1752,19,0,88
312782,1752,18,0,89
